"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
       25,  0.34567E-03,     1,     32,    226,  0.10000E-01,   413.3219    ,   413.3223    
       26,  0.17677E-01,     1,     32,    226,  0.50000    ,   413.3223    ,   413.3399    
       27,  0.18355E-03,     1,     32,    226,  0.10000E-01,   413.3399    ,   413.3401    
       28,  0.87429E-02,     1,     32,    226,  0.50000    ,   413.3401    ,   413.3488    
       29,  0.10227E-03,     1,     32,    226,  0.10000E-01,   413.3488    ,   413.3489    
       30,  0.86637E-02,     1,     32,    226,   1.0000    ,   413.3489    ,   413.3576    
"Maximum head changes for Stress Period     3, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,   10.000    ,     1,     59,     78,  0.49062    ,   577.7115    ,   587.7115    
        2,   10.000    ,     1,     63,     58,  0.56888    ,   642.8170    ,   652.8170    
        3,  0.76031E-01,     1,     63,     58,  0.10000E-01,   652.8170    ,   652.8931    
        4,   3.7640    ,     1,     63,     58,  0.50000    ,   652.8931    ,   656.6571    
        5,  0.37594E-01,     1,     63,     58,  0.10000E-01,   656.6571    ,   656.6947    
        6,   1.8619    ,     1,     63,     58,  0.50000    ,   656.6947    ,   658.5566    
        7,  0.18635E-01,     1,     63,     58,  0.10000E-01,   658.5566    ,   658.5752    
        8,  0.92103    ,     1,     63,     58,  0.50000    ,   658.5752    ,   659.4962    
        9,  0.92099E-02,     1,     63,     58,  0.10000E-01,   659.4962    ,   659.5054    
       10,  0.45558    ,     1,     63,     58,  0.50000    ,   659.5054    ,   659.9610    
       11,  0.45634E-02,     1,     63,     58,  0.10000E-01,   659.9610    ,   659.9656    
       12,  0.22535    ,     1,     63,     58,  0.50000    ,   659.9656    ,   660.1909    
       13,  0.22550E-02,     1,     63,     58,  0.10000E-01,   660.1909    ,   660.1932    
       14,  0.11147    ,     1,     63,     58,  0.50000    ,   660.1932    ,   660.3046    
       15,  0.11365E-02,     1,     63,     58,  0.10000E-01,   660.3046    ,   660.3058    
       16,  0.55120E-01,     1,     63,     58,  0.50000    ,   660.3058    ,   660.3609    
       17,  0.55570E-03,     1,     63,     58,  0.10000E-01,   660.3609    ,   660.3615    
       18,  0.27283E-01,     1,     63,     58,  0.50000    ,   660.3615    ,   660.3887    
       19,  0.27295E-03,     1,     63,     58,  0.10000E-01,   660.3887    ,   660.3890    
       20,  0.13522E-01,     1,     63,     58,  0.50000    ,   660.3890    ,   660.4025    
       21,  0.15874E-03,     1,     23,    264,  0.10000E-01,   247.1168    ,   247.1170    
       22,  0.89190E-02,     1,     23,    264,  0.50000    ,   247.1170    ,   247.1259    
       23,  0.33830E-04,     1,     63,     79,  0.10000E-02,   569.3666    ,   569.3667    
       24,  0.62979E-02,     1,     23,    264,  0.50000    ,   247.1259    ,   247.1322    
       25,  0.77669E-04,     1,     23,    315,  0.10000E-01,   104.3493    ,   104.3494    
       26,  0.94221E-02,     1,     23,    314,   1.0000    ,   104.6598    ,   104.6692    
"Maximum head changes for Stress Period     4, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,   8.8320    ,     1,     57,     73,  0.50000    ,   578.3348    ,   587.1668    
        2,   10.000    ,     1,     42,    101,  0.48200    ,   368.9037    ,   378.9037    
        3,   7.9865    ,     1,     42,    101,  0.74100    ,   378.9037    ,   386.8902    
        4,  0.27834E-01,     1,     42,    101,  0.10000E-01,   386.8902    ,   386.9181    
        5,   1.3799    ,     1,     42,    101,  0.50000    ,   386.9181    ,   388.2979    
        6,  0.13767E-01,     1,     42,    101,  0.10000E-01,   388.2979    ,   388.3117    
        7,  0.68272    ,     1,     42,    101,  0.50000    ,   388.3117    ,   388.9944    
        8,  0.68235E-02,     1,     42,    101,  0.10000E-01,   388.9944    ,   389.0013    
        9,  0.33777    ,     1,     42,    101,  0.50000    ,   389.0013    ,   389.3390    
       10,  0.33743E-02,     1,     42,    101,  0.10000E-01,   389.3390    ,   389.3424    
       11,  0.16711    ,     1,     42,    101,  0.50000    ,   389.3424    ,   389.5095    
       12,  0.18436E-02,     1,     23,    314,  0.10000E-01,   104.2448    ,   104.2467    
       13,  0.11570    ,     1,     23,    314,  0.50000    ,   104.2467    ,   104.3624    
       14,  0.14161E-02,     1,     23,    314,  0.10000E-01,   104.3624    ,   104.3638    
       15,  0.87999E-01,     1,     23,    314,  0.50000    ,   104.3638    ,   104.4518    
       16,  0.10670E-02,     1,     23,    314,  0.10000E-01,   104.4518    ,   104.4529    
       17,  0.65329E-01,     1,     23,    314,  0.50000    ,   104.4529    ,   104.5182    
       18,  0.78161E-03,     1,     23,    314,  0.10000E-01,   104.5182    ,   104.5190    
       19,  0.47519E-01,     1,     23,    314,  0.50000    ,   104.5190    ,   104.5665    
